date,nifty_open,nifty_high,nifty_low,nifty_close,vix_open,vix_high,vix_low,vix_close,absl_open,absl_high,absl_low,absl_close,source,fetch_timestamp,status,notes
2026-04-01,22899.0,22941.3008,22618.5996,22679.4004,27.89,27.89,23.65,25.01,439.3943,439.3943,439.3943,439.3943,Yahoo Finance,2026-06-28T12:59:16+05:30,OK,
2026-04-02,22383.4004,22782.3008,22182.5508,22713.0996,25.01,26.6,25.01,25.52,440.0432,440.0432,440.0432,440.0432,Yahoo Finance,2026-06-28T12:59:16+05:30,OK,
2026-04-06,22780.3008,22998.3496,22542.9492,22968.25,25.52,26.56,25.08,25.47,440.4112,440.4112,440.4112,440.4112,Yahoo Finance,2026-06-28T12:59:16+05:30,OK,
2026-04-07,22838.6992,23153.8496,22719.3008,23123.6504,25.47,26.26,24.55,24.7,440.5133,440.5133,440.5133,440.5133,Yahoo Finance,2026-06-28T12:59:16+05:30,OK,
2026-04-08,23855.1504,24025.1504,23828.5,23997.3496,24.7,24.7,19.31,19.7,440.6694,440.6694,440.6694,440.6694,Yahoo Finance,2026-06-28T12:59:16+05:30,OK,
2026-04-09,23909.0508,23990.75,23682.8008,23775.0996,19.7,20.94,19.17,20.43,440.8527,440.8527,440.8527,440.8527,Yahoo Finance,2026-06-28T12:59:16+05:30,OK,
2026-04-10,23880.5508,24074.0508,23856.3496,24050.5996,20.43,20.43,18.37,18.85,440.967,440.967,440.967,440.967,Yahoo Finance,2026-06-28T12:59:16+05:30,OK,
2026-04-13,23589.5996,23907.4004,23555.5996,23842.6504,18.85,21.51,18.18,20.5,441.2371,441.2371,441.2371,441.2371,Yahoo Finance,2026-06-28T12:59:16+05:30,OK,
2026-04-15,24163.8008,24280.9004,24145.8008,24231.3008,20.5,20.5,17.34,18.67,441.4023,441.4023,441.4023,441.4023,Yahoo Finance,2026-06-28T12:59:16+05:30,OK,
2026-04-16,24385.1992,24400.9492,24102.8008,24196.75,18.67,18.67,16.83,18.09,441.4963,441.4963,441.4963,441.4963,Yahoo Finance,2026-06-28T12:59:16+05:30,OK,
2026-04-17,24165.9004,24371.9004,24096.0508,24353.5508,18.09,18.47,16.59,17.21,441.5516,441.5516,441.5516,441.5516,Yahoo Finance,2026-06-28T12:59:16+05:30,OK,
2026-04-20,24391.5,24480.6504,24241.25,24364.8496,17.21,19.01,16.48,18.79,441.7526,441.7526,441.7526,441.7526,Yahoo Finance,2026-06-28T12:59:16+05:30,OK,
2026-04-21,24374.5508,24601.6992,24354.9004,24576.5996,18.79,18.79,17.45,17.53,441.8038,441.8038,441.8038,441.8038,Yahoo Finance,2026-06-28T12:59:16+05:30,OK,
2026-04-22,24470.8496,24515.9492,24352.9004,24378.0996,17.53,18.73,17.25,18.3,441.842,441.842,441.842,441.842,Yahoo Finance,2026-06-28T12:59:16+05:30,OK,
2026-04-23,24202.3496,24310.1992,24134.8008,24173.0508,18.3,19.12,17.49,18.59,441.8877,441.8877,441.8877,441.8877,Yahoo Finance,2026-06-28T12:59:16+05:30,OK,
2026-04-24,24100.5508,24206.0,23813.6504,23897.9492,18.59,19.9,18.06,19.71,441.9442,441.9442,441.9442,441.9442,Yahoo Finance,2026-06-28T12:59:16+05:30,OK,
2026-04-27,23945.4492,24130.6992,23936.1992,24092.6992,19.71,19.71,18.27,18.38,442.0941,442.0941,442.0941,442.0941,Yahoo Finance,2026-06-28T12:59:16+05:30,OK,
2026-04-28,24049.9004,24181.8008,23957.0508,23995.6992,18.38,18.41,17.27,18.05,442.1449,442.1449,442.1449,442.1449,Yahoo Finance,2026-06-28T12:59:16+05:30,OK,
2026-04-29,24096.9004,24334.6992,24059.9492,24177.6504,18.05,18.05,16.75,17.44,442.2016,442.2016,442.2016,442.2016,Yahoo Finance,2026-06-28T12:59:16+05:30,OK,
2026-04-30,23996.9492,24087.4492,23796.8496,23997.5508,17.44,19.48,17.19,18.46,442.2387,442.2387,442.2387,442.2387,Yahoo Finance,2026-06-28T12:59:16+05:30,OK,
2026-05-04,24063.5508,24290.1992,24004.75,24119.3008,18.46,18.88,16.75,18.3,442.5274,442.5274,442.5274,442.5274,Yahoo Finance,2026-06-28T12:59:16+05:30,OK,
